EventId,EventTemplate
E133,START u0 <*> from uid <*> on display <*>
E134,getRecentTasks: topActivity=ComponentInfo{com.example.android.notepad/com.example.android.notepad.NoteEditor}
E135,"ACTIVITY check resid: <*>, size=<*>"
E136,getAllCellInfo is blocked by permission manager . callingPackage = <*>
E137,getCellLocation is blocked by permission manager uid:<*> pid:<*>
E138,isWiredHeadsetOn...
E139,"setDataSource(<*>, <*>, <*>)"
E140,getStreamVolume treamType: <*>
E141,"updateIsPoweredLocked: wasPowered=<*>, mIsPowered=<*>, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>"
E142,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>
E143,updateChargingLocked: charging=<*>
E144,"onReceive, action:<*>"
E145,ACTION_BATTERY_CHANGED pluggedType: <*>
E146,ApStaDisabledState what=<*>
E147,DefaultState what=<*>
E148,battery changed pluggedType: <*>
E149,RefreshBatteryInfo isBatteryLow: <*>
E150,ChargingSpeed Wattage: <*> ST: <*> --> <*>
E151,handleBatteryUpdate
E152,startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg=<*> cmp=<*> (has extras) }
E153,getRecentTasks: topActivity=ComponentInfo{com.tencent.mm/com.tencent.mm.ui.LauncherUI}
