LogMessage,LogStatement,LogTemplate,LogTemplate_fromLS
"17/06/09 20:10:53 INFO storage.MemoryStore: Block broadcast_13 stored as values in memory (estimated size 10.1 KB, free 386.5 KB)
","logInfo(s""Block $blockId stored as $storageType in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:53 INFO storage.MemoryStore: Block broadcast_14 stored as values in memory (estimated size 9.6 KB, free 401.9 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:53 INFO storage.MemoryStore: Block broadcast_15 stored as values in memory (estimated size 9.2 KB, free 416.6 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $size, free $free)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:53 INFO storage.MemoryStore: Block broadcast_16_piece0 stored as bytes in memory (estimated size 5.6 KB, free 422.1 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:53 INFO storage.MemoryStore: Block broadcast_16 stored as values in memory (estimated size 9.8 KB, free 432.0 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:54 INFO storage.MemoryStore: Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:54 INFO storage.MemoryStore: Block broadcast_17 stored as values in memory (estimated size 10.1 KB, free 448.6 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:54 INFO storage.MemoryStore: Block broadcast_18_piece0 stored as bytes in memory (estimated size 5.8 KB, free 454.4 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:54 INFO storage.MemoryStore: Block broadcast_18 stored as values in memory (estimated size 9.6 KB, free 464.0 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $size, free $free)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:54 INFO storage.MemoryStore: Block broadcast_19 stored as values in memory (estimated size 9.2 KB, free 478.6 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:54 INFO storage.MemoryStore: Block broadcast_20 stored as values in memory (estimated size 9.8 KB, free 411.6 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $size, free $free)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:54 INFO storage.MemoryStore: Block broadcast_21 stored as values in memory (estimated size 10.1 KB, free 403.2 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:55 INFO storage.MemoryStore: Block broadcast_22 stored as values in memory (estimated size 9.6 KB, free 418.6 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:55 INFO storage.MemoryStore: Block broadcast_23_piece0 stored as bytes in memory (estimated size 5.4 KB, free 378.2 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:55 INFO storage.MemoryStore: Block broadcast_23 stored as values in memory (estimated size 9.2 KB, free 387.4 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:55 INFO storage.MemoryStore: Block broadcast_24 stored as values in memory (estimated size 9.8 KB, free 402.8 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:55 INFO storage.MemoryStore: Block broadcast_25_piece0 stored as bytes in memory (estimated size 5.7 KB, free 409.5 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:55 INFO storage.MemoryStore: Block broadcast_25 stored as values in memory (estimated size 10.1 KB, free 419.6 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:55 INFO storage.MemoryStore: Block broadcast_26_piece0 stored as bytes in memory (estimated size 5.8 KB, free 379.9 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:55 INFO storage.MemoryStore: Block broadcast_26 stored as values in memory (estimated size 9.7 KB, free 389.6 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:55 INFO storage.MemoryStore: Block broadcast_27 stored as values in memory (estimated size 9.2 KB, free 404.2 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:56 INFO storage.MemoryStore: Block broadcast_28 stored as values in memory (estimated size 9.8 KB, free 419.6 KB)
","logInfo(s""Block $blockName stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:56 INFO storage.MemoryStore: Block broadcast_29_piece0 stored as bytes in memory (estimated size 5.7 KB, free 379.5 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:56 INFO storage.MemoryStore: Block broadcast_29 stored as values in memory (estimated size 10.1 KB, free 374.2 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:56 INFO storage.MemoryStore: Block broadcast_30 stored as values in memory (estimated size 9.7 KB, free 389.7 KB)
","logInfo(s""Block $blockName stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:56 INFO storage.MemoryStore: Block broadcast_31 stored as values in memory (estimated size 9.8 KB, free 405.1 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:56 INFO storage.MemoryStore: Block broadcast_32_piece0 stored as bytes in memory (estimated size 5.7 KB, free 406.3 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:56 INFO storage.MemoryStore: Block broadcast_32 stored as values in memory (estimated size 10.1 KB, free 400.4 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:57 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1012
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:10:57 INFO storage.MemoryStore: Block broadcast_33 stored as values in memory (estimated size 82.1 KB, free 486.9 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000002_998: Committed
","logInfo(""attempt_${jobId}_${taskType}_${taskAttemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskType}_${taskAttemptId}: Committed
"17/06/09 20:10:57 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000003_1012: Committed
","logInfo(""attempt_${jobId}_${taskType}_${taskAttemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskType}_${taskAttemptId}: Committed
"17/06/09 20:10:57 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000001_984: Committed
","logInfo(""attempt_${jobId}_${taskType}_${taskAttemptId}_${taskId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskType}_${taskAttemptId}_${taskId}: Committed
"17/06/09 20:10:57 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000000_970: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:57 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1125
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:10:57 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1126
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:10:57 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1129
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000044_1129: Committed
","logInfo(""attempt_${jobId}_${taskType}_${taskAttemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskType}_${taskAttemptId}: Committed
"17/06/09 20:10:57 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000043_1128: Committed
","logInfo(""attempt_${jobId}_${taskType}_${taskAttemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskType}_${taskAttemptId}: Committed
"17/06/09 20:10:57 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000040_1125: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:57 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000042_1127: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:57 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000041_1126: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:57 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000083_1138: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000084_1141: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000080_1135: Committed
","logInfo(""attempt_${jobId}_${taskType}_${taskAttemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskType}_${taskAttemptId}: Committed
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000082_1137: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000081_1136: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1150
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:10:58 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000124_1151: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:58 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:58 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:58 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000120_1145: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000122_1147: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000121_1146: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000123_1150: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000160_1155: Committed
","logInfo(""attempt_$attemptId: Committed"")",<*>: Committed,attempt_<*>: Committed
"17/06/09 20:10:58 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:58 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000163_1158: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000164_1159: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:58 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000162_1157: Committed
","logInfo(""attempt_${jobId}_${taskType}_${taskAttemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskType}_${taskAttemptId}: Committed
