Output,EventTemplate
Console: colour VGA+ 80x25,Console: colour VGA+ <*>
"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)","Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)"
Calibrating delay loop... 1445.88 BogoMIPS,Calibrating delay loop... <*> BogoMIPS
Security Scaffold v1.0.0 initialized,Security Scaffold <*> initialized
SELinux:  Initializing.,SELinux:  Initializing.
SELinux:  Starting in permissive mode,SELinux:  Starting in permissive mode
"There is already a security framework initialized, register_security failed.","There is already a security framework initialized, <*>."
Failure registering capabilities with the kernel,Failure registering capabilities with the kernel
selinux_register_security:  Registering secondary module capability,<*>:  Registering secondary module capability
Capability LSM initialized,Capability LSM initialized
"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)","Dentry cache hash table entries: <*> (order: <*>, <*> bytes)"
"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)","Inode-cache hash table entries: <*> (order: <*>, <*> bytes)"
"Mount-cache hash table entries: 512 (order: 0, 4096 bytes)","Mount-cache hash table entries: <*> (order: <*>, <*> bytes)"
"CPU: L1 I cache: 16K, L1 D cache: 16K","CPU: <*> I cache: <*>, <*> D cache: <*>"
CPU: L2 cache: 256K,CPU: <*> cache: <*>
Intel machine check architecture supported.,Intel machine check architecture supported.
Intel machine check reporting enabled on CPU#0.,Intel machine check reporting enabled on <*>.
CPU: Intel Pentium III (Coppermine) stepping 06,CPU: Intel Pentium III (Coppermine) stepping <*>
Enabling fast FPU save and restore... done.,Enabling fast FPU save and restore... done.
Enabling unmasked SIMD FPU exception support... done.,Enabling unmasked SIMD FPU exception support... done.
Checking 'hlt' instruction... OK.,Checking '<*>' instruction... OK.
Initializing random number generator:  succeeded,Initializing random number generator:  succeeded
POSIX conformance testing by UNIFIX,POSIX conformance testing by UNIFIX
NET: Registered protocol family 16,NET: Registered protocol family <*>
"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1","PCI: PCI BIOS revision <*> entry at <*>, last bus=<*>"
PCI: Using configuration type 1,PCI: Using configuration type <*>
mtrr: v2.0 (20020519),mtrr: <*> (<*>)
ACPI: Subsystem revision 20040326,ACPI: Subsystem revision <*>
ACPI: Interpreter disabled.,ACPI: Interpreter disabled.
Linux Plug and Play Support v0.97 (c) Adam Belay,Linux Plug and Play Support <*> (c) Adam Belay
Starting pcmcia:  succeeded,Starting pcmcia:  succeeded
ACPI: ACPI tables contain no PCI IRQ routing entries,ACPI: ACPI tables contain no PCI IRQ routing entries
PCI: Invalid ACPI-PCI IRQ routing table,PCI: Invalid ACPI-PCI IRQ routing table
PCI: Probing PCI hardware,PCI: Probing PCI hardware
PCI: Probing PCI hardware (bus 00),PCI: Probing PCI hardware (bus <*>)
Transparent bridge - 0000:00:1e.0,Transparent bridge - <*>
PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,PCI: Using IRQ router PIIX/ICH [<*>/<*>] at <*>
apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),apm: BIOS version <*> Flags <*> (Driver version <*>)
audit: initializing netlink socket (disabled),audit: initializing netlink socket (disabled)
kernel.core_uses_pid = 1,<*> = <*>
HCI daemon ver 2.4 started,HCI daemon ver <*> started
hcid startup succeeded,hcid startup succeeded
audit(1122475266.4294965305:0): initialized,audit(<*>): initialized
Setting network parameters:  succeeded,Setting network parameters:  succeeded
sdpd startup succeeded,sdpd startup succeeded
sdpd v1.5 started,sdpd <*> started
"Total HugeTLB memory allocated, 0","Total HugeTLB memory allocated, <*>"
Bringing up loopback interface:  succeeded,Bringing up loopback interface:  succeeded
VFS: Disk quotas dquot_6.5.1,VFS: Disk quotas <*>
"Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)","Dquot-cache hash table entries: <*> (order <*>, <*> bytes)"
SELinux:  Registering netfilter hooks,SELinux:  Registering netfilter hooks
Initializing Cryptographic API,Initializing Cryptographic API
pci_hotplug: PCI Hot Plug PCI Core version: 0.5,<*>: PCI Hot Plug PCI Core version: <*>
isapnp: Scanning for PnP cards...,isapnp: Scanning for PnP cards...
isapnp: No Plug & Play device found,isapnp: No Plug & Play device found
Real Time Clock Driver v1.12,Real Time Clock Driver <*>
Linux agpgart interface v0.100 (c) Dave Jones,Linux agpgart interface <*> (c) Dave Jones
