Output,EventTemplate
probe of vesafb0 failed with error -6,probe of vesafb0 failed with error <*>
Mounting NFS filesystems: succeeded,Mounting NFS filesystems: succeeded
Mounting other filesystems: failed,Mounting other filesystems: failed
Warning: we failed to resolve trusted host name dadmin3 dadmin4,Warning: we failed to resolve trusted host name <*>
gmetad startup succeeded,gmetad startup succeeded
Server listening on :: port 22.,Server listening on :: port <*>.
error: Bind to port 22 on 0.0.0.0 failed: Address already in use.,error: Bind to port <*> on <*> failed: Address already in use.
Cannot open file /dev/logsurfer for writing (No such file or directory),Cannot open file <*> for writing (No such file or directory)
Changing permissions on special file /dev/logsurfer,Changing permissions on special file <*>
xinetd startup succeeded,xinetd startup succeeded
Started working: 1 available service,Started working: <*> available service
xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,xinetd Version <*> started with libwrap loadavg options compiled in.
"Device: /dev/sda, Temperature changed -2 Celsius to 26 Celsius since last report","Device: <*>, Temperature changed <*> Celsius to <*> Celsius since last report"
