LogMessage,LoggingStatement,LogTemplate,LogTemplate_fromLS
"03-17 16:13:38.938  1702 14638 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(TAG, ""ready=%s,policy=%d,wakefulness=%d,wksummary=0x%x,uasummary=0x%x,bootcompleted=%s,boostinprogress=%s,waitmodeenable=%s,mode=%s,manual=%d,auto=%d,adj=%f,userId=%d"");","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=0x<*>,uasummary=0x<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>"
"03-17 16:13:38.954  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)
","Log.i(TAG, ""setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)"");","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)","setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)"
"03-17 16:13:38.955  2227  2227 I PhoneStatusBar: cancelAutohide
","Log.i(TAG, ""cancelAutohide"");",cancelAutohide,cancelAutohide
"03-17 16:13:38.955  2227  2227 I PhoneStatusBar: notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500
","Log.i(TAG, ""notifyUiVisibilityChanged:vis=0x%s, SystemUiVisibility=0x%s"", vis, SystemUiVisibility);","notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>","notifyUiVisibilityChanged:vis=0x<*>, SystemUiVisibility=0x<*>"
"03-17 16:13:38.994  1702 27365 I WindowManager: Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack> 
","```java
Log.i(""WindowManager"", ""Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>"");
```",Destroying surface Surface(name=<*>) called by <*>,WindowManager
"03-17 16:13:39.006  1702  2639 I WindowManager: Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136 
","```java
Log.i(""WindowManager"", ""Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136"");
```",Destroying surface Surface(name=<*>) called by <*>,WindowManager
"03-17 16:13:39.010  1702  2639 D PowerManagerService: release:lock=62617001, flg=0x0, tag=""WindowManager"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702
","Log.d(TAG, ""release:lock=%s, flg=0x%s, tag=\""%s\"", name=\""%s\"", ws=%s, uid=%d, pid=%d"", lock, flg, tag, name, ws, uid, pid);","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=0x<*>, tag=\"
"03-17 16:13:39.011  1702  2639 D PowerManagerService: userActivityNoUpdateLocked: eventTime=261843648, event=0, flags=0x1, uid=1000
","Log.d(TAG, ""userActivityNoUpdateLocked: eventTime=%d, event=%d, flags=0x%x, uid=%d"", eventTime, event, flags, uid);","userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>","userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=0x<*>, uid=<*>"
"03-17 16:13:39.011  1702  2639 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(TAG, ""ready=%s,policy=%s,wakefulness=%s,wksummary=%s,uasummary=%s,bootcompleted=%s,boostinprogress=%s,waitmodeenable=%s,mode=%s,manual=%s,auto=%s,adj=%suserId=%s"", ready, policy, wakefulness, wksummary, uasummary, bootcompleted, boostinprogress, waitmodeenable, mode, manual, auto, adj, userId)","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>"
"03-17 16:13:39.069  1702  1815 I WindowManager: orientation change is complete, call stopFreezingDisplayLocked
","Log.i(TAG, ""orientation change is complete, call stopFreezingDisplayLocked"");","orientation change is complete, call stopFreezingDisplayLocked","orientation change is complete, call stopFreezingDisplayLocked"
"03-17 16:13:39.070  1702  1815 I WindowManager: Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity}
","Log.i(TAG, ""Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity}"");",Screen frozen for <*> due to Window{<*> u0 <*>},Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity}
"03-17 16:13:39.070  1702  1815 D WindowManager: startAnimation begin
","Log.d(""WindowManager"", ""startAnimation begin"");",startAnimation begin,WindowManager
"03-17 16:13:39.079  1702  1815 D WindowManager: startAnimation end
","Log.d(TAG, ""startAnimation end"");",startAnimation end,startAnimation end
"03-17 16:13:39.080  1702  1815 D PowerManagerService: release:lock=226887582, flg=0x0, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=1000, pid=1702
","Log.d(TAG, ""release:lock=%s, flg=0x%s, tag=\""%s\"", name=\""%s\"", ws=%s, uid=%d, pid=%d"", lock, flg, tag, name, ws, uid, pid);","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=0x<*>, tag=\"
"03-17 16:13:39.080  1702  1815 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(TAG, ""ready=%s,policy=%d,wakefulness=%d,wksummary=0x%x,uasummary=0x%x,bootcompleted=%b,boostinprogress=%b,waitmodeenable=%b,mode=%b,manual=%d,auto=%d,adj=%fuserId=%d"");","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=0x<*>,uasummary=0x<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>"
"03-17 16:13:39.095  1702  8671 I AlarmManager: remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching
","Log.i(TAG, ""remove(PendingIntent{"" + pendingIntentId + "": PendingIntentRecord{"" + recordId + "" "" + packageName + "" "" + broadcastType + ""}}) changed bounds; rebatching"");",remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching,remove(PendingIntent{
"03-17 16:13:39.207  1702  1815 I WindowManager: rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED
","Log.i(TAG, ""rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED"");","rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED","rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED"
"03-17 16:13:39.207  1702  1815 I WindowManager: Application requested orientation 1, got rotation 0 which has compatible metrics
","Log.i(TAG, ""Application requested orientation 1, got rotation 0 which has compatible metrics"");","Application requested orientation <*>, got rotation <*> which has compatible metrics","Application requested orientation 1, got rotation 0 which has compatible metrics"
"03-17 16:13:40.142  1702  2618 D PowerManagerService: acquire lock=166121161, flags=0x1, tag=""RILJ_ACK_WL"", name=com.android.phone, ws=null, uid=1001, pid=2626
","Log.d(""PowerManagerService"", ""acquire lock=166121161, flags=0x1, tag=\""RILJ_ACK_WL\"", name=com.android.phone, ws=null, uid=1001, pid=2626"");","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",PowerManagerService
"03-17 16:13:40.143  1702  2618 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(TAG, ""ready=%s,policy=%s,wakefulness=%s,wksummary=%s,uasummary=%s,bootcompleted=%s,boostinprogress=%s,waitmodeenable=%s,mode=%s,manual=%s,auto=%s,adj=%suserId=%s"", ready, policy, wakefulness, wksummary, uasummary, bootcompleted, boostinprogress, waitmodeenable, mode, manual, auto, adj, userId)","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>"
"03-17 16:13:40.146  1702  2555 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(TAG, ""ready=%s,policy=%s,wakefulness=%s,wksummary=%s,uasummary=%s,bootcompleted=%s,boostinprogress=%s,waitmodeenable=%s,mode=%s,manual=%s,auto=%s,adj=%suserId=%s"", ready, policy, wakefulness, wksummary, uasummary, bootcompleted, boostinprogress, waitmodeenable, mode, manual, auto, adj, userId)","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>"
"03-17 16:13:40.147  1702  2633 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(TAG, ""ready=%s,policy=%d,wakefulness=%d,wksummary=0x%x,uasummary=0x%x,bootcompleted=%s,boostinprogress=%s,waitmodeenable=%s,mode=%s,manual=%d,auto=%d,adj=%.1fuserId=%d"");","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=0x<*>,uasummary=0x<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=%.1fuserId=<*>"
"03-17 16:13:40.148  1702  2395 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(""PowerManagerService"", ""ready=%s,policy=%s,wakefulness=%s,wksummary=%s,uasummary=%s,bootcompleted=%s,boostinprogress=%s,waitmodeenable=%s,mode=%s,manual=%s,auto=%s,adj=%s,userId=%s"", ready, policy, wakefulness, wksummary, uasummary, bootcompleted, boostinprogress, waitmodeenable, mode, manual, auto, adj, userId);","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",PowerManagerService
"03-17 16:13:40.150  1702  2556 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(""PowerManagerService"", ""ready=%s,policy=%d,wakefulness=%d,wksummary=0x%x,uasummary=0x%x,bootcompleted=%s,boostinprogress=%s,waitmodeenable=%s,mode=%s,manual=%d,auto=%d,adj=%f,userId=%d"", ready, policy, wakefulness, wksummary, uasummary, bootcompleted, boostinprogress, waitmodeenable, mode, manual, auto, adj, userId)","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",PowerManagerService
"03-17 16:13:40.190  1702  2250 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(TAG, ""ready=%s,policy=%s,wakefulness=%s,wksummary=%s,uasummary=%s,bootcompleted=%s,boostinprogress=%s,waitmodeenable=%s,mode=%s,manual=%s,auto=%s,adj=%suserId=%s"", ready, policy, wakefulness, wksummary, uasummary, bootcompleted, boostinprogress, waitmodeenable, mode, manual, auto, adj, userId)","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>"
"03-17 16:13:40.241  2626  8682 W PhoneInterfaceManager: shouldBlockLocation running ...
","Log.w(TAG, ""shouldBlockLocation running ..."");",shouldBlockLocation running ...,shouldBlockLocation running ...
"03-17 16:13:40.241  2626  8682 I PhoneInterfaceManager: shouldBlockLocation  ret:false
","Log.i(TAG, ""shouldBlockLocation ret:"" + false);",shouldBlockLocation ret:<*>,shouldBlockLocation ret:
"03-17 16:13:40.280  2626  2642 W PhoneInterfaceManager: shouldBlockLocation running ...
","Log.w(TAG, ""shouldBlockLocation running ..."");",shouldBlockLocation running ...,shouldBlockLocation running ...
"03-17 16:13:40.280  2626  2642 I PhoneInterfaceManager: shouldBlockLocation  ret:false
","Log.i(TAG, ""shouldBlockLocation ret:"" + false);",shouldBlockLocation ret:<*>,shouldBlockLocation ret:
"03-17 16:13:40.305  3664  3807 D TelephonyManager: getNeighboringCellInfo calling app is com.amap.android.ams
","Log.d(TAG, ""getNeighboringCellInfo calling app is com.amap.android.ams"");",getNeighboringCellInfo calling app is <*>,getNeighboringCellInfo calling app is com.amap.android.ams
"03-17 16:13:40.307  2626 23469 W PhoneInterfaceManager: shouldBlockLocation running ...
","Log.w(TAG, ""shouldBlockLocation running ..."");",shouldBlockLocation running ...,shouldBlockLocation running ...
"03-17 16:13:40.308  2626 23469 I PhoneInterfaceManager: shouldBlockLocation  ret:false
","Log.i(TAG, ""shouldBlockLocation ret:"" + false);",shouldBlockLocation ret:<*>,shouldBlockLocation ret:
"03-17 16:13:40.309  1702  2395 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0
","Log.d(TAG, ""ready=%s,policy=%d,wakefulness=%d,wksummary=0x%x,uasummary=0x%x,bootcompleted=%s,boostinprogress=%s,waitmodeenable=%s,mode=%s,manual=%d,auto=%d,adj=%fuserId=%d"");","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=0x<*>,uasummary=0x<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>"
